Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
Senior Consultant,Pune,Full Time,General Insurance Department,8 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,4.0
Senior Software Engineer,"Kolkata, West Bengal",Full Time,Software Development Department,7 Sep 2023,3.0,4.0,4.0,3.0,4.0,4.0,3.0
Senior Consultant,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,6 Sep 2023,4.0,4.0,5.0,3.0,3.0,4.0,3.0
Senior Consultant,"Pune, Maharashtra",Full Time,Banking Operations Department,6 Sep 2023,1.0,2.0,4.0,1.0,4.0,1.0,1.0
Team Lead,"Noida, Uttar Pradesh",Full Time,IT Infrastructure Services Department,5 Sep 2023,4.0,5.0,4.0,4.0,4.0,4.0,3.0
Trade Finance Analyst,Pune,Full Time,Banking Operations Department,5 Sep 2023,5.0,5.0,4.0,3.0,5.0,4.0,5.0
Senior Developer,"Kolkata, West Bengal",Full Time,Software Development Department,4 Sep 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Analyst   (working remotely),,Full Time,Other Department,3 Sep 2023,1.0,4.0,4.0,1.0,5.0,1.0,3.0
Analyst,Navi Mumbai,Full Time,IT Consulting Department,3 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,2.0
Senior Consultant C1,"Chennai, Tamil Nadu",Full Time,Software Development Department,4 Sep 2023,4.0,4.0,3.0,5.0,5.0,4.0,3.0
Senior Analyst,Pune,Full Time,Business Intelligence & Analytics Department,3 Sep 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Cybersecurity Manager,Bengaluru/Bangalore,Full Time,IT Security Department,2 Sep 2023,3.0,4.0,4.0,2.0,4.0,4.0,2.0
Senior Analyst,"Mumbai, Maharashtra",Full Time,IT Network Department,2 Sep 2023,3.0,5.0,4.0,3.0,5.0,3.0,1.0
Problem Manager,"Navi Mumbai, Maharashtra",Full Time,Operations Support Department,2 Sep 2023,4.0,4.0,3.0,2.0,3.0,4.0,2.0
Associate Consultant,"Gurgaon/Gurugram, Haryana",Full Time,Data Science & Machine Learning Department,2 Sep 2023,4.0,5.0,4.0,2.0,5.0,5.0,2.0
